Price,Consumer Discretionary ETF
Ticker,XLY
Date,
2020-09-08,139.46742248535156
2020-09-09,142.09864807128906
2020-09-10,140.0628204345703
2020-09-11,140.27406311035156
2020-09-14,141.7625732421875
2020-09-15,142.92457580566406
2020-09-16,142.12745666503906
2020-09-17,140.13003540039062
2020-09-18,138.18055725097656
2020-09-21,136.18466186523438
2020-09-22,139.06216430664062
2020-09-23,136.78131103515625
2020-09-24,136.72357177734375
2020-09-25,138.50393676757812
2020-09-28,141.4006805419922
2020-09-29,140.3035430908203
2020-09-30,141.44876098632812
2020-10-01,143.29652404785156
2020-10-02,142.6902313232422
2020-10-05,144.57652282714844
2020-10-06,141.90106201171875
2020-10-07,145.14427185058594
2020-10-08,146.0970001220703
2020-10-09,147.61758422851562
2020-10-12,149.58078002929688
2020-10-13,149.5519256591797
2020-10-14,147.89662170410156
2020-10-15,148.44515991210938
2020-10-16,147.09788513183594
2020-10-19,145.28863525390625
2020-10-20,146.45309448242188
2020-10-21,145.6543426513672
2020-10-22,145.9526824951172
2020-10-23,147.23263549804688
2020-10-26,144.40325927734375
2020-10-27,144.3359375
2020-10-28,139.77427673339844
2020-10-29,140.65966796875
2020-10-30,137.58969116210938
2020-11-02,138.57135009765625
2020-11-03,141.62203979492188
2020-11-04,144.63421630859375
2020-11-05,147.45396423339844
2020-11-06,147.0112762451172
2020-11-09,146.5300750732422
2020-11-10,146.0104217529297
2020-11-11,147.29037475585938
2020-11-12,145.3175048828125
2020-11-13,147.67532348632812
2020-11-16,149.6096649169922
2020-11-17,148.97451782226562
2020-11-18,147.95440673828125
2020-11-19,148.685791015625
2020-11-20,147.90625
2020-11-23,149.53265380859375
2020-11-24,151.7557830810547
2020-11-25,151.9385986328125
2020-11-27,152.2657928466797
2020-11-30,151.3419189453125
2020-12-01,152.46791076660156
2020-12-02,151.51515197753906
2020-12-03,151.9385986328125
2020-12-04,152.0829620361328
2020-12-07,151.73654174804688
2020-12-08,151.41891479492188
2020-12-09,151.27456665039062
2020-12-10,151.13978576660156
2020-12-11,150.4180450439453
2020-12-14,150.63938903808594
2020-12-15,152.67002868652344
2020-12-16,153.6708526611328
2020-12-17,154.71983337402344
2020-12-18,153.9691925048828
2020-12-21,152.22987365722656
2020-12-22,151.57424926757812
2020-12-23,151.9020538330078
2020-12-24,152.22021484375
2020-12-28,153.9556884765625
2020-12-29,154.00390625
2020-12-30,154.9294891357422
2020-12-31,155.0162811279297
2021-01-04,153.70504760742188
2021-01-05,154.8523712158203
2021-01-06,156.43359375
2021-01-07,159.45138549804688
2021-01-08,162.73910522460938
2021-01-11,159.70205688476562
2021-01-12,162.14132690429688
2021-01-13,162.1316680908203
2021-01-14,161.10006713867188
2021-01-15,159.8563232421875
2021-01-19,160.76260375976562
2021-01-20,163.7996826171875
2021-01-21,164.56134033203125
2021-01-22,164.0021514892578
2021-01-25,164.6095733642578
2021-01-26,164.5034942626953
2021-01-27,159.4320831298828
2021-01-28,159.9334259033203
2021-01-29,156.2021484375
2021-02-01,160.26123046875
2021-02-02,163.66473388671875
2021-02-03,162.74874877929688
2021-02-04,164.48423767089844
2021-02-05,166.05580139160156
2021-02-08,167.0006866455078
2021-02-09,166.0750732421875
2021-02-10,164.43601989746094
2021-02-11,163.98287963867188
2021-02-12,164.2142333984375
2021-02-16,163.50076293945312
2021-02-17,164.44564819335938
2021-02-18,164.49386596679688
2021-02-19,163.5393524169922
2021-02-22,160.08766174316406
2021-02-23,159.03675842285156
2021-02-24,160.70472717285156
2021-02-25,154.7270050048828
2021-02-26,155.37298583984375
2021-03-01,159.0175018310547
2021-03-02,157.18560791015625
2021-03-03,153.492919921875
2021-03-04,150.2436981201172
2021-03-05,151.1981964111328
2021-03-08,151.3813934326172
2021-03-09,157.0988311767578
2021-03-10,157.8990936279297
2021-03-11,160.319091796875
2021-03-12,160.79153442382812
2021-03-15,162.95120239257812
2021-03-16,161.2639617919922
2021-03-17,163.52969360351562
2021-03-18,159.5284881591797
2021-03-19,160.48294067382812
2021-03-22,161.53945922851562
2021-03-23,160.0233612060547
2021-03-24,157.6573944091797
2021-03-25,159.03834533691406
2021-03-26,160.361328125
2021-03-29,159.4825439453125
2021-03-30,161.04696655273438
