Price,Aerospace ETF
Ticker,ITA
Date,
2021-01-20,91.60240173339844
2021-01-21,90.19947814941406
2021-01-22,90.27635192871094
2021-01-25,89.65178680419922
2021-01-26,88.62361145019531
2021-01-27,86.4327621459961
2021-01-28,87.2591323852539
2021-01-29,85.5968017578125
2021-02-01,87.06697082519531
2021-02-02,89.47882843017578
2021-02-03,90.80484771728516
2021-02-04,92.59211730957031
2021-02-05,92.23657989501953
2021-02-08,93.5914535522461
2021-02-09,94.38899993896484
2021-02-10,93.8028564453125
2021-02-11,94.35054779052734
2021-02-12,94.08151245117188
2021-02-16,93.83167266845703
2021-02-17,94.26408386230469
2021-02-18,93.01490783691406
2021-02-19,95.13850402832031
2021-02-22,94.15838623046875
2021-02-23,94.25447082519531
2021-02-24,97.31011962890625
2021-02-25,93.57221221923828
2021-02-26,91.87145233154297
2021-03-01,94.94633483886719
2021-03-02,94.60999298095703
2021-03-03,94.91748046875
2021-03-04,93.13021850585938
2021-03-05,94.21603393554688
2021-03-08,94.55235290527344
2021-03-09,94.7156982421875
2021-03-10,97.31011962890625
2021-03-11,98.69381713867188
2021-03-12,101.43236541748047
2021-03-15,101.91282653808594
2021-03-16,99.81806945800781
2021-03-17,101.67262268066406
2021-03-18,100.06790161132812
2021-03-19,99.90455627441406
2021-03-22,99.08777618408203
2021-03-23,96.4453125
2021-03-24,96.33000183105469
2021-03-25,98.59042358398438
2021-03-26,98.93743133544922
2021-03-29,99.45796203613281
2021-03-30,100.09412384033203
